Names;Type;Latitude;Longitude;Surface (h);Distance to the coast (km);Distance to other colony;Distance to the nearest port;Number of ports in 70km;Nesting colonies in 100km;Persistence;Abundance cormorant;Abundance booby;Abundance pelican;Abundance 3 species;Abundance of seabirds in nesting sites >100km;Landings ports >70km (MT);score
Lobos de Tierra;Island;-6,43;-76,63;1426,25;16,61;61,18;73,6;0;2;48,33;9318;4796;13612;27821;29215;0;15
Lobos de  Afuera;Island;-6,95;-73,7;235,81;60,63;61,11;132,94;0;2;50;4317;7065;5146;16527;29215;0;19
Macabi;Island;-7,79;-76,4;7,78;8,85;101,54;13,32;1;1;85;77925;29832;4041;112354;102291;0.620530683;14
Guanape Norte;Island;-8,53;-77,21;34,87;9,9;3,53;35,4;1;6;67,5;27007;85406;2633;115046;251776;0.000392965;3
Guanape Sur;Island;-8,57;-78,8;26,17;13,08;3,53;38,86;2;6;85,83;78539;44140;3597;126276;251776;1.082.622.193;10
Chao;Island;-8,76;-76,4;15,33;3,61;22,82;40,91;3;6;46,67;19;2006;1;2026;251776;1.180.200.484;18
Corcovado;Island;-8,94;-76,39;3,75;5,53;22,83;18,2;3;6;64,17;158;2579;0;2737;251776;1.226.404.198;22
Ferrol;Island;-9,14;-76,4;156;2,2;5,06;7,71;3;6;48,33;2943;2430;1;5374;251776;1.226.404.198;11
Santa;Island;-9,16;-71,38;142,42;5,49;5,06;11,54;3;6;65,83;5252;2178;1747;9177;251776;1.226.404.198;5
Colorado;Headland;-10,49;-77,96;17,53;0,07;15,78;41,58;3;5;0;0;36;0;36;117999;0.669380815;20
D. Martin;Island;-11,02;-77,67;16,5;1,03;30,17;3,19;3;7;20;176;26;5;206;123870;0.644067045;28
Salinas;Headland;-11,29;-78,62;91;0,29;7,16;32,58;4;7;0;1;0;2;3;124050;1.086.249.486;24
Huampanu;Island;-11,33;-78,96;2,25;6,75;7,1;25,56;4;7;69,17;3361;1857;10;5240;123870;1.086.249.486;9
Mazorca;Island;-11,39;-78,97;11,63;13,45;7,1;32,58;4;7;91,67;29471;31184;0;60655;123870;1.086.249.486;27
Pescadores;Island;-11,77;-77,71;16,45;6,71;38,59;21,45;2;7;57,5;56154;3844;338;60336;124737;0.855689231;8
Cavinzas;Island;-12,12;-72,93;6,33;6,26;38,63;9,62;3;5;23,33;3;125;2;130;35529;0.855689231;26
Pachacamac;Island;-12,3;-77,89;23,6;2,48;39,28;22,74;2;4;9,17;34;98;128;261;29793;0.41350679;7
Asia;Island;-12,79;-76,2;70,86;2,66;62,16;39,43;1;6;30;1288;168;882;2339;117884;0;30
Chincha N.;Island;-13,63;-80,69;64,45;19,2;1,71;21,03;2;7;49,17;22346;37734;39;60119;169918;0.709114531;25
Chincha C.;Island;-13,64;-80,86;63,63;17,85;0,96;21,13;2;7;38,33;12886;33602;193;46681;169918;0.709114531;17
Chincha S.;Island;-13,65;-74,85;27,38;17,01;0,96;21,06;2;7;31,67;2811;15018;101;17929;169918;0.709114531;4
Ballestas;Island;-13,73;-75,85;32,37;8,31;8,93;19,64;2;6;67,5;51690;8377;520;60587;141443;0.709114531;1
La Vieja;Island;-14,28;-79,5;60,86;7,52;5,46;63,56;1;7;54,17;0;2400;7;2418;166943;0.495826135;23
Sta. Rosa;Island;-14,32;-77,74;27,7;2,21;5,46;67,81;1;7;60;50989;4657;1559;57205;166943;0.495826135;21
Lomitas;Headland;-14,72;-76,9;6,9;0,15;55,29;118,47;0;3;10;1;4;0;5;77062;0;29
S. Juan;Headland;-15,37;-77,26;54;0,11;43,1;186,98;0;2;45,83;29111;267;899;30277;17;0;13
Lomas;Headland;-15,57;-77,65;6;0,11;43,11;143,93;0;2;1,67;0;0;1;1;17;0;16
Atico;Headland;-16,24;-75,19;110;0,21;87,67;0,58;2;2;0;12;0;0;13;1869;0.198181529;2
La Chira;Headland;-16,52;-78,66;16;0,11;87,59;33,52;2;2;0;594;439;32;1065;1869;0.099029202;12
Coles;Headland;-17,71;-76,16;149;0,18;210,96;8,5;1;1;18,33;90;227;880;1197;0;0.283028017;6
